id,imdb_id,title_orig,title_pt,year,country,director,duration,genres,poster_path,overview,era,streaming,streaming_checked_at
2457,tt0037674,Les Enfants du Paradis,O Boulevard do Crime,1945,França,Marcel Carné,190,Drama;Romance,/3mcjw2A8cqRB7zOpe70vi2PuLCV.jpg,"Em uma Paris caótica do século XIX, repleta de aristocratas, ladrões, médiuns e cortesãs, o mímico teatral Baptiste está apaixonado pela misteriosa atriz Garance. Mas Garance, por sua vez, é amada por três outros homens: o pretensioso ator Frederick, o ladrão conivente Lacenaire e o Conde Edouard de Montray.",XX,Belas Artes à La Carte,2026-07-31
5156,tt0040522,Ladri di biciclette,Ladrões de Bicicleta,1948,Itália,Vittorio De Sica,90,Drama,/8hpVv2G8cXXEBp67dkcLNqrjNUs.jpg,"Desempregado Antonio Ricci (Lamberto Maggiorani) está eufórico quando finalmente encontra trabalho colocando cartazes pela cidade de Roma, destruída pela guerra. Sua esposa Maria (Lianella Carell), vende os lençóis da família para resgatar a bicicleta de Antonio da loja de penhor, para que ele possa aceitar o trabalho. Porém, o desastre ataca, quando a bicicleta de Antonio é roubada. (e 10 - Estimado 10 Anos)",XX,Belas Artes à La Carte;Oldflix,2026-07-31
27030,tt0046022,Madame de…,Desejos Proibidos,1953,França / Itália,Max Ophüls,105,Drama;Romance,/8yDsTjWI57TJtEukIa9CsQSvyd1.jpg,"Uma aristocrata vende um par de brincos que ganhou do marido e desencadeia uma sequência de eventos que fogem do controle.  A condessa Louise, em dificuldades financeiras, vende um par de brincos preciosos para o joalheiro Rémy e mente para seu marido, general André, dizendo que perdeu os brincos. O general André descobre a verdade, compra os brincos de volta e os dá à sua nova amante Lola, que está indo para Constantinopla. Lá eles acabam parando nas mãos do Barão Donati, que mais tarde conhece a Condessa Louise em Paris. Ambos se apaixonam, após o que Donati dá os brincos à condessa. Ela afirma ao marido que surpreendentemente encontrou os brincos novamente, mas ele sabe da mentira e desafia o Barão para um duelo...",XX,Belas Artes à La Carte;Claro tv+,2026-07-31
18148,tt0046438,東京物語,Era Uma Vez em Tóquio,1953,Japão,Yasujiro Ozu,137,Drama,/4HCbmramVjhtwvPzoRGXiPhu9Zk.jpg,"Um casal de idosos deixa sua filha no campo para visitar os outros filhos em Tóquio, cidade que eles nunca tinham ido. Porém os filhos os recebem com indiferença, e estão sempre muito atarefados para terem tempo para os pais. Apenas a nora deles, que perdeu o marido na guerra, parece dar atenção aos dois. Quando a mãe fica doente, os filhos vão visitá-la junto com a nora, e complexos sentimentos são revelados.",XX,Arte;Belas Artes à La Carte,2026-07-31
346,tt0047478,七人の侍,Os Sete Samurais,1954,Japão,Akira Kurosawa,207,Ação;Drama,/2f3Aw6GCzpn1qw56xq78dH0VBgn.jpg,"Um bando de bandidos aterroriza os habitantes de uma pequena cidade, saqueando-os periodicamente sem piedade. Para repelir estes ataques, os aldeões decidem contratar mercenários. Por fim, obtêm os serviços de 7 guerreiros, 7 samurais dispostos a defendê-los em troca apenas de abrigo e comida.",XX,Arte,2026-07-31
5801,tt0048473,পথের পাঁচালী,A Canção da Estrada,1955,Índia,Satyajit Ray,125,Drama;História,/2NKWR1zyAERkfF4yVlj99QKEADh.jpg,"No início do século 20, Abul é um menino pertencente a uma pobre família brâmane de um vilarejo na Índia. Seu pai, poeta e sacerdote, é forçado a deixar seus entes queridos em busca de trabalho. Uma das obras-prima do cinema mundial, inédita no Brasil e nas Américas. Este filme foi a estréia espetacular de Satyati Ray. Recuperada a finais dos anos 90, pois um incêndio destruiu os negativos originais, esta é a primeira fita, que deu origem a Trilogia de Apu. Nela se narra a comovente história de uma família de Bengali perseguida pela má sorte. O pai, Harihara, é um sacerdote mundano, curandeiro, sonhador e poeta. Sabajaya, a mãe trabalha para alimentar a uma família, que recebe com alegria e esperança a chegada de um novo filho, Apu.",XX,,2026-07-31
269,tt0053472,À bout de souffle,Acossado,1960,França,Jean-Luc Godard,90,Drama;Crime;Romance,/duTBwrPiJV75xGSzq1Xe68UCrdw.jpg,"Após roubar um carro em Marselha, Michel Poiccard (Jean-Paul Belmondo) ruma para Paris. No caminho mata um policial, que tentou prendê-lo por excesso de velocidade, e em Paris persuade a relutante Patricia Franchisi (Jean Seberg), uma estudante americana com quem se envolveu, para escondê-lo até receber o dinheiro que lhe devem. Michel promete a Patricia que irão juntos para a Itália. No entanto, o crime de Michel está nos jornais e agora não há opção. Ele fica escondido no apartamento de Patricia, onde conversam, namoram, ele fala sobre a morte e ela diz que quer ficar grávida dele. Ele perde a consciência da situação na qual se encontra e anda pela cidade cometendo pequenos delitos, mas quando é visto por um informante começa o final da sua trágica perseguição.",XX,Telecine,2026-07-31
147,tt0053198,Les Quatre Cents Coups,Os Incompreendidos,1959,França,François Truffaut,99,Drama,/wHITh5qpAZr9e9Q7mtxXYReJxt2.jpg,"Para o jovem parisiense Antoine Doinel, a vida é uma sucessão de dificuldades. Cercado por adultos insensíveis, incluindo seus pais negligentes, Antoine passa os dias com seu melhor amigo, René, tentando planejar uma vida melhor. Quando um de seus planos dá errado, Antoine acaba se metendo em problemas com a lei, o que leva a ainda mais conflitos com figuras de autoridade insensíveis.",XX,Arte;MUBI;Telecine,2026-07-31
439,tt0053779,La dolce vita,A Doce Vida,1960,França / Itália,Federico Fellini,176,Comédia;Drama,/l0IgwhbAuYIbBgm8YsHRit1Fa4L.jpg,"Roma, início dos anos 60. O jornalista Marcello (Marcello Mastroianni em desempenho memorável) vive entre as celebridades, ricos e fotógrafos que lotam a badalada Via Veneto. Neste mundo marcado pelas aparências e por um vazio existencial, frequenta festas, conhece os tipos mais extravagantes e descobre um novo sentido para a vida.",XX,,2026-07-31
4497,tt0055601,Viridiana,Viridiana,1962,Espanha / México,Luis Buñuel,91,Drama,/8GtqDStfrTC6x1JtbpuHdkwzWbu.jpg,"Pouco antes de ser ordenada freira, Viridiana faz uma visita ao seu solitário tio, que está à beira da morte. O homem, pervertido e obcecado pela sua beleza, tenta seduzi-la de todas as formas, antes de morrer repentinamente. Com a sua morte, acaba desistindo de ser freira, passando a morar na casa deixada pelo tio. Decide transformá-la em um albergue, movida pelo seu sentimento cristão de piedade e solidariedade, mas os mendigos que lá abriga, acabam lhe mostrando as verdadeiras facetas dos seres humanos. Outra obra magistral de Buñuel. Um filme maravilhoso com um roteiro cheio de irreverências, naturalismo, surrealismo, humor negro e tragédia. Uma história inesquecível, fantástica e imprescindível.",XX,,2026-07-31
